OBJECTID_1,GEOID,STATE,STATE_NAME,COUNTY,NAME,Percent_,AGE_ALL,AGE_0_5,AGE_0_5_RATE,Shape__Area,Shape__Length
24,47115,47,Tennessee,115,Marion,1.49437671,28417,1661,5.845092726,0.131213037,1.626802071
27,47185,47,Tennessee,185,White,1.48171055,26580,1568,5.89917231,0.098131505,1.867463937
97,47129,47,Tennessee,129,Morgan,1.39956319,21596,1019,4.718466383,0.13549525,1.896229635
121,47065,47,Tennessee,65,Hamilton,1.49490772,357546,20718,5.794499169,0.147583944,1.984334984
148,47123,47,Tennessee,123,Monroe,1.45379778,45876,2612,5.693608859,0.167786673,2.599471574
161,47149,47,Tennessee,149,Rutherford,1.41083347,307128,20275,6.601482118,0.16124255,2.507627123
189,47013,47,Tennessee,13,Campbell,1.57829654,39687,2187,5.510620606,0.129615804,2.046881513
200,47169,47,Tennessee,169,Trousdale,1.43837776,9573,594,6.204951426,0.030351505,0.997133949
230,47159,47,Tennessee,159,Smith,1.46702887,19458,1082,5.56069483,0.084492247,1.597517569
244,47165,47,Tennessee,165,Sumner,1.34307593,179473,10954,6.103425028,0.141457442,1.968823886
314,47105,47,Tennessee,105,Loudon,1.31300793,51610,2695,5.221856229,0.063829052,1.91553734
409,47041,47,Tennessee,41,DeKalb,1.45974014,19601,1078,5.499719402,0.085148068,1.749354438
445,47061,47,Tennessee,61,Grundy,1.65703545,13331,758,5.685995049,0.092789259,1.46742923
520,47003,47,Tennessee,3,Bedford,1.50348803,47558,3171,6.667647925,0.122175987,1.849345806
521,47027,47,Tennessee,27,Clay,1.44199331,7686,388,5.048139474,0.067605125,1.58143563
523,47097,47,Tennessee,97,Lauderdale,1.71116835,26297,1483,5.639426551,0.131014116,2.843684586
560,47095,47,Tennessee,95,Lake,1.86649613,7526,307,4.079192134,0.05041259,1.487051273
574,47177,47,Tennessee,177,Warren,1.54205399,40454,2432,6.011766451,0.111921964,1.623119882
575,47081,47,Tennessee,81,Hickman,1.44081035,24678,1356,5.494772672,0.158206342,1.860810218
581,47141,47,Tennessee,141,Putnam,1.53490746,76440,4451,5.822867609,0.104404322,2.500711542
635,47075,47,Tennessee,75,Haywood,1.79758484,17779,1046,5.88334552,0.137558446,1.718343318
660,47089,47,Tennessee,89,Jefferson,1.4053653,53247,2557,4.802148478,0.081418191,1.772715026
705,47099,47,Tennessee,99,Lawrence,1.44652489,42937,2880,6.707501689,0.158460231,1.898114645
789,47127,47,Tennessee,127,Moore,1.29276607,6322,344,5.441316039,0.033466298,1.629062968
883,47163,47,Tennessee,163,Sullivan,1.39856885,156734,7786,4.967652201,0.11196551,2.212145164
918,47069,47,Tennessee,69,Hardeman,1.62129142,25562,976,3.818167593,0.171867191,1.649626528
941,47019,47,Tennessee,19,Carter,1.47388368,56391,2511,4.452838219,0.090330999,1.66315524
962,47073,47,Tennessee,73,Hawkins,1.3875051,56402,2829,5.015779582,0.130060624,2.1906864
968,47179,47,Tennessee,179,Washington,1.44723678,127055,6506,5.120617056,0.085689034,1.537676627
989,47009,47,Tennessee,9,Blount,1.383836,128443,6457,5.027132658,0.146121368,2.23779444
1053,47111,47,Tennessee,111,Macon,1.49734654,23487,1685,7.174181462,0.080076822,1.250728983
1057,47023,47,Tennessee,23,Chester,1.46815687,17150,960,5.597667638,0.073499213,1.564183911
1079,47161,47,Tennessee,161,Stewart,1.39869436,13301,772,5.804074882,0.128439396,1.521057527
1090,47087,47,Tennessee,87,Jackson,1.40137694,11615,503,4.330606974,0.083094883,1.424130817
1163,47145,47,Tennessee,145,Roane,1.37795089,52897,2343,4.429362724,0.102059575,1.896086897
1183,47181,47,Tennessee,181,Wayne,1.39145925,16649,812,4.8771698,0.188661905,2.013451194
1195,47085,47,Tennessee,85,Humphreys,1.38804199,18318,921,5.027841467,0.144193076,1.815419983
