EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name
TNN000410471,GIBSON MERCURY WELL,CAMDEN,BENTON,TN,1290 OLD HIGHWAY 70 EAST, 38320 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,9/17/2009,,
TNN000405355,LAKE FRONT ROAD DRUM,EVA,BENTON,TN,End of Lake Front Road, 38333 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Unknown,,No,,,No,,3/8/2017,,
TNN000406510,MAGPRO COMPANY MAGNESIUM FIRE,CAMDEN,BENTON,TN,245 Foundry Lane, 30901 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,,4/23/2018,,
TND982146912,MAGPRO FIRE,CAMDEN,BENTON,TN,245 FOUNDRY LANE, 38320 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,9/11/2007,,
TND003383551,ALUMINUM CO OF AMERICA,ALCOA,BLOUNT,TN,300 N HALL RD, 37701 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,,,,No,,,No,ALUMINUM CO OF AMERICA,4/5/2002,,
TND987766136,ALUMINUM COMPANY OF AMERICA-NORTH PLANT,ALCOA,BLOUNT,TN,HUNT ROAD, 37701 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,,,,No,,,No,,4/5/2002,,
TNN000404051,CSX MARYVILLE FIRE,MARYVILLE,BLOUNT,TN,Mt. Tabor Road and Old Mt. Tabor Road, 37801 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",,No,,,No,,7/6/2015,,
TN4570024196,USAF MCGHEE TYSON ANG BASE,ALCOA,BLOUNT,TN,MCGHEE TYSON AIRPORT (KNOXVILLE)-HWY 129, 37901 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,Other,Unknown,Department of Defense,No,,,No,USAF MCGHEE TYSON ANG BASE,4/17/1986,,
TNN000406761,ARCH CHEMICALS FIRE,CHARLESTON,BRADLEY,TN,1200 Lower River Road, 37310 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,,6/29/2018,,
TND981022395,JACK GOINS WASTE OIL,CLEVELAND,BRADLEY,TN,801 15TH STREET N.E., 37311 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,,,,No,,,No,,9/5/2001,,
TNN000409799,QUALITY DIST TANKER ACCIDENT,CLEVELAND,BRADLEY,TN,Postal Address is unavailable for the Site,  ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,6/9/2005,,
TNSFN0406939,CSX TRAIN DERAILMENT,WARTRACE,COFFEE,TN,COFFEE COUNTY, 37183 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,,,,No,,,No,,5/1/2001,,
TNN000400644,LYNDELL BELL ROAD DRUM,MANCHESTER,COFFEE,TN,420 LYNDELL BELL ROAD, 37355 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Recycling,Drums/tanks,,No,,,No,,3/27/2014,,
TNN000410079,VAUGHAN HOLLOW ROAD LANDFILL FIRE,MANCHESTER,COFFEE,TN,VAUGHAN HOLLOW ROAD,  ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,8/24/2007,,
TNN000411011,P&S AUTO SALVAGE,DYERSBURG,DYER,TN,Postal Address is unavailable for the Site,  ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Status not specified,Status Not Specified,Active,Recycling,Automobiles/tires,,No,,,No,,9/24/2013,,
TND987781309,CELOTEX CORPORATION,PARIS,HENRY,TN,COUNTY HOME ROAD, 38242 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,,,,No,,,No,,12/13/2001,,
TND980844823,HENRY COUNTY BONEYARD,PARIS,HENRY,TN,OLD WHITLOCK PARIS RD, 38242 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,,,,No,,,No,HENRY COUNTY BONEYARD,8/31/2000,,
TN0002323350,PARIS DRUG LAB SITE,BUCHANAN,HENRY,TN,500 EAGLE NEST ROAD, 38222-4133 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,,,,No,,,No,,10/9/2002,,
TN1690399042,U.S. COAST GUARD SHORE SIDE DETACHMENT PAR,BUCHANAN,HENRY,TN,700 COAST GUARD RD, 38222 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Initial Assessment Needed/Ongoing,Fed Fac Preliminary Assessment Review Start Needed,Active,Other,Unknown,Department of Homeland Security,No,,,Yes,,8/2/2017,,TN1690399042 - US COAST GUARD SHORE SIDE DETACHMENT PAR
TN0000408693,RIDGELY PRECISION BOMB RANGE NO 2,RIDGELY,LAKE,TN,Postal Address is unavailable for the Site, 38080 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,4/28/2016,,
TNN000410917,ALLIED RE-PROCESSING FIRE,RIPLEY,LAUDERDALE,TN,536 SOUTH JEFFERSON STREET, 37204 ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,ALLIED REPROCESSING FIRE,11/27/2012,,
TNN000407231,DYERSBURG ARMY AIRFIELD,HALLS,LAUDERDALE,TN,STATE ROUTE 3,  ,R04,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Long-term Cleanup Attention Needed/Ongoing under State Program,Other Cleanup Activity: State-Lead Cleanup,Active,,,,No,,,No,,4/4/2002,,
