"GEO_ID","NAME","B25034_001M","B25034_001MA","B25034_001E","B25034_001EA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004M","B25034_004MA","B25034_004EA","B25034_005M","B25034_005MA","B25034_005E","B25034_005EA","B25034_006M","B25034_006MA","B25034_006E","B25034_006EA","B25034_007M","B25034_007MA","B25034_007E","B25034_007EA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009M","B25034_009MA","B25034_009E","B25034_009EA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Built 2005 or later","Annotation of Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Annotation of Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Annotation of Margin of Error!!Total!!Built 2000 to 2004","Annotation of Estimate!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","69","null","8987","null","256","null","100","null","821","177","null","null","2134","255","null","null","237","null","1376","null","291","null","1769","null","212","null","1062","null","910","null","194","null","105","null","282","null","377","null","114","null",
"0500000US47011","Bradley County, Tennessee","242","null","40912","null","2166","null","346","null","3870","439","null","null","8266","541","null","null","543","null","6142","null","636","null","8861","null","461","null","4856","null","2825","null","303","null","310","null","1989","null","1937","null","248","null",
"0500000US47031","Coffee County, Tennessee","90","null","23034","null","955","null","185","null","2397","326","null","null","4653","417","null","null","380","null","3230","null","447","null","3654","null","328","null","3270","null","2900","null","354","null","222","null","941","null","1034","null","199","null",
"0500000US47067","Hancock County, Tennessee","76","null","3579","null","97","null","72","null","291","119","null","null","717","156","null","null","168","null","624","null","149","null","596","null","94","null","287","null","338","null","123","null","89","null","229","null","400","null","146","null",
"0500000US47083","Houston County, Tennessee","54","null","4163","null","140","null","70","null","367","105","null","null","855","169","null","null","118","null","535","null","123","null","731","null","135","null","633","null","320","null","88","null","63","null","137","null","445","null","106","null",
"0500000US47115","Marion County, Tennessee","58","null","12972","null","491","null","167","null","813","145","null","null","2789","312","null","null","275","null","2256","null","258","null","2376","null","254","null","1565","null","1000","null","219","null","171","null","742","null","940","null","164","null",
"0500000US47149","Rutherford County, Tennessee","343","null","99507","null","10299","null","554","null","19088","752","null","null","26714","1020","null","null","824","null","16141","null","677","null","12070","null","514","null","6457","null","4165","null","462","null","265","null","1549","null","3024","null","348","null",
"0500000US47163","Sullivan County, Tennessee","334","null","73351","null","1971","null","311","null","4325","453","null","null","11125","650","null","null","658","null","10818","null","701","null","12365","null","501","null","9334","null","10712","null","686","null","450","null","6440","null","6261","null","498","null",
"0500000US47181","Wayne County, Tennessee","149","null","7247","null","344","null","140","null","339","106","null","null","1936","242","null","null","169","null","833","null","175","null","1016","null","184","null","1204","null","530","null","161","null","152","null","491","null","554","null","159","null",
"0500000US47189","Wilson County, Tennessee","154","null","43960","null","4285","null","393","null","6431","538","null","null","10224","645","null","null","492","null","7533","null","506","null","6310","null","410","null","3906","null","2194","null","306","null","275","null","1231","null","1846","null","268","null",
"1600000US5331985","Home CDP, Washington","159","null","728","null","9","null","14","null","81","64","null","null","182","94","null","null","84","null","131","null","54","null","72","null","60","null","53","null","86","null","88","null","63","null","71","null","43","null","43","null",
