"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007M","B25034_007MA","B25034_007EA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Annotation of Margin of Error!!Total!!Built 2005 or later","Annotation of Estimate!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Annotation of Margin of Error!!Total!!Built 2000 to 2004","Annotation of Estimate!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8987","null","45","null","270","100","null","null","743","151","null","null","1977","null","226","null","1628","null","240","null","1693","null","258","null","1044","169","null","null","932","192","null","null","317","null","123","null","383","null","120","null",
"0500000US47011","Bradley County, Tennessee","41208","null","202","null","2541","327","null","null","4093","445","null","null","8138","null","563","null","6583","null","634","null","8371","null","480","null","4547","504","null","null","3174","348","null","null","1829","null","264","null","1932","null","267","null",
"0500000US47031","Coffee County, Tennessee","23277","null","105","null","1234","198","null","null","1994","289","null","null","4308","null","467","null","3400","null","378","null","3869","null","474","null","3296","328","null","null","3250","388","null","null","986","null","215","null","940","null","202","null",
"0500000US47067","Hancock County, Tennessee","3605","null","63","null","133","81","null","null","169","86","null","null","681","null","149","null","562","null","128","null","622","null","128","null","358","111","null","null","356","106","null","null","232","null","82","null","492","null","134","null",
"0500000US47083","Houston County, Tennessee","4173","null","75","null","218","66","null","null","302","88","null","null","843","null","162","null","501","null","115","null","744","null","107","null","585","113","null","null","363","97","null","null","166","null","55","null","451","null","110","null",
"0500000US47115","Marion County, Tennessee","12962","null","52","null","614","205","null","null","813","174","null","null","2581","null","320","null","2313","null","262","null","2511","null","316","null","1541","255","null","null","919","170","null","null","740","null","183","null","930","null","169","null",
"0500000US47149","Rutherford County, Tennessee","101495","null","321","null","12287","709","null","null","19159","941","null","null","27492","null","1061","null","16801","null","864","null","11402","null","764","null","6042","512","null","null","3747","427","null","null","1505","null","281","null","3060","null","373","null",
"0500000US47163","Sullivan County, Tennessee","73592","null","207","null","2479","292","null","null","4548","411","null","null","10994","null","649","null","10532","null","627","null","12416","null","684","null","9816","648","null","null","10596","616","null","null","6429","null","461","null","5782","null","459","null",
"0500000US47181","Wayne County, Tennessee","7267","null","181","null","370","151","null","null","431","122","null","null","1772","null","276","null","904","null","179","null","1066","null","174","null","1224","195","null","null","439","147","null","null","541","null","154","null","520","null","136","null",
"0500000US47189","Wilson County, Tennessee","44802","null","161","null","5770","478","null","null","6584","509","null","null","10153","null","556","null","7356","null","570","null","6318","null","537","null","3659","388","null","null","2184","363","null","null","1199","null","298","null","1579","null","300","null",
"1600000US5331985","Home CDP, Washington","807","null","146","null","22","25","null","null","59","52","null","null","209","null","96","null","129","null","74","null","74","null","74","null","118","76","null","null","115","85","null","null","37","null","46","null","44","null","43","null",
