"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_001MA","B25034_001EA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006M","B25034_006MA","B25034_006EA","B25034_007E","B25034_007M","B25034_007MA","B25034_007EA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010M","B25034_010MA","B25034_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Built 2010 or later","Margin of Error!!Total!!Built 2010 or later","Annotation of Margin of Error!!Total!!Built 2010 or later","Annotation of Estimate!!Total!!Built 2010 or later","Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8980","40","null","null","19","17","null","null","1081","188","null","null","1987","null","254","null","1599","null","259","null","1638","205","null","null","1243","210","null","null","767","144","null","null","273","null","99","null","373","109","null","null",
"0500000US47011","Bradley County, Tennessee","41510","142","null","null","128","67","null","null","6485","524","null","null","8015","null","567","null","6683","null","546","null","8375","702","null","null","4679","545","null","null","3128","368","null","null","1763","null","288","null","2254","339","null","null",
"0500000US47031","Coffee County, Tennessee","23386","83","null","null","115","101","null","null","3236","340","null","null","4315","null","372","null","3435","null","404","null","3949","398","null","null","3571","295","null","null","2968","325","null","null","915","null","205","null","882","182","null","null",
"0500000US47067","Hancock County, Tennessee","3614","43","null","null","6","9","null","null","336","97","null","null","724","null","125","null","496","null","114","null","715","141","null","null","364","106","null","null","275","83","null","null","244","null","72","null","454","124","null","null",
"0500000US47083","Houston County, Tennessee","4184","58","null","null","3","5","null","null","637","118","null","null","801","null","140","null","554","null","128","null","801","132","null","null","540","116","null","null","367","101","null","null","177","null","58","null","304","80","null","null",
"0500000US47115","Marion County, Tennessee","12985","58","null","null","21","26","null","null","1467","243","null","null","2388","null","264","null","2428","null","323","null","2624","314","null","null","1445","263","null","null","987","186","null","null","635","null","151","null","990","192","null","null",
"0500000US47149","Rutherford County, Tennessee","102934","239","null","null","489","186","null","null","31896","1000","null","null","27450","null","1080","null","16680","null","745","null","12198","863","null","null","6386","499","null","null","3676","398","null","null","1381","null","248","null","2778","407","null","null",
"0500000US47163","Sullivan County, Tennessee","73753","198","null","null","314","141","null","null","7508","562","null","null","10929","null","568","null","9985","null","660","null","12772","635","null","null","9894","616","null","null","10700","529","null","null","6023","null","466","null","5628","471","null","null",
"0500000US47181","Wayne County, Tennessee","7273","106","null","null","41","39","null","null","904","194","null","null","1901","null","234","null","894","null","174","null","1042","156","null","null","1160","226","null","null","443","150","null","null","397","null","119","null","491","139","null","null",
"0500000US47189","Wilson County, Tennessee","45702","140","null","null","364","100","null","null","12741","590","null","null","9975","null","534","null","7549","null","575","null","6026","473","null","null","4012","403","null","null","2357","316","null","null","1101","null","218","null","1577","253","null","null",
"1600000US5331985","Home CDP, Washington","778","147","null","null","0","12","null","null","130","82","null","null","169","null","98","null","57","null","56","null","98","83","null","null","167","94","null","null","102","74","null","null","0","null","12","null","55","53","null","null",
