"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_001MA","B25034_001EA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004M","B25034_004MA","B25034_004EA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006M","B25034_006MA","B25034_006EA","B25034_007E","B25034_007M","B25034_007MA","B25034_007EA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010M","B25034_010MA","B25034_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Built 2010 or later","Margin of Error!!Total!!Built 2010 or later","Annotation of Margin of Error!!Total!!Built 2010 or later","Annotation of Estimate!!Total!!Built 2010 or later","Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8950","40","null","null","67","50","null","null","1114","195","null","null","2000","217","null","null","1398","null","194","null","1605","226","null","null","1280","167","null","null","789","145","null","null","285","95","null","null","412","128","null","null",
"0500000US47011","Bradley County, Tennessee","41681","131","null","null","527","194","null","null","6508","487","null","null","7728","537","null","null","6554","null","575","null","8621","584","null","null","4704","434","null","null","3001","311","null","null","1793","291","null","null","2245","340","null","null",
"0500000US47031","Coffee County, Tennessee","23396","145","null","null","208","120","null","null","3375","298","null","null","4324","471","null","null","3204","null","393","null","3919","419","null","null","3415","362","null","null","2928","390","null","null","1113","255","null","null","910","190","null","null",
"0500000US47067","Hancock County, Tennessee","3611","39","null","null","58","48","null","null","466","108","null","null","683","121","null","null","464","null","111","null","751","122","null","null","304","89","null","null","261","76","null","null","237","78","null","null","387","113","null","null",
"0500000US47083","Houston County, Tennessee","4169","50","null","null","3","5","null","null","536","118","null","null","756","116","null","null","514","null","102","null","820","118","null","null","607","123","null","null","384","91","null","null","225","67","null","null","324","83","null","null",
"0500000US47115","Marion County, Tennessee","12947","60","null","null","93","77","null","null","1609","247","null","null","2521","257","null","null","2345","null","312","null","2587","258","null","null","1305","250","null","null","942","201","null","null","597","171","null","null","948","177","null","null",
"0500000US47149","Rutherford County, Tennessee","104153","215","null","null","1047","237","null","null","32541","1190","null","null","28126","1070","null","null","16650","null","923","null","12028","767","null","null","6467","518","null","null","3514","335","null","null","1290","239","null","null","2490","344","null","null",
"0500000US47163","Sullivan County, Tennessee","73748","168","null","null","472","137","null","null","7995","632","null","null","10610","672","null","null","9407","null","561","null","12502","674","null","null","10297","640","null","null","10838","587","null","null","5764","523","null","null","5863","345","null","null",
"0500000US47181","Wayne County, Tennessee","7241","111","null","null","39","36","null","null","1015","195","null","null","1725","223","null","null","1105","null","190","null","972","163","null","null","1098","167","null","null","416","101","null","null","370","119","null","null","501","123","null","null",
"0500000US47189","Wilson County, Tennessee","46365","116","null","null","994","226","null","null","13317","550","null","null","9821","606","null","null","7726","null","613","null","5666","466","null","null","3770","419","null","null","2262","314","null","null","1140","238","null","null","1669","297","null","null",
"1600000US5331985","Home CDP, Washington","740","145","null","null","0","12","null","null","129","80","null","null","208","95","null","null","26","null","25","null","86","72","null","null","167","105","null","null","80","54","null","null","0","12","null","null","44","43","null","null",
