"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005M","B25034_005MA","B25034_005EA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007M","B25034_007MA","B25034_007EA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010M","B25034_010MA","B25034_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Built 2010 or later","Margin of Error!!Total!!Built 2010 or later","Annotation of Margin of Error!!Total!!Built 2010 or later","Annotation of Estimate!!Total!!Built 2010 or later","Estimate!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8973","null","37","null","86","52","null","null","1088","null","190","null","1795","null","233","null","1527","214","null","null","1662","null","199","null","1294","196","null","null","800","132","null","null","289","null","105","null","432","111","null","null",
"0500000US47011","Bradley County, Tennessee","41928","null","187","null","923","219","null","null","7056","null","505","null","7159","null","512","null","7135","589","null","null","8485","null","582","null","4687","506","null","null","2833","384","null","null","1394","null","245","null","2256","305","null","null",
"0500000US47031","Coffee County, Tennessee","23481","null","84","null","269","119","null","null","3153","null","355","null","4468","null","420","null","3247","388","null","null","3961","null","414","null","3582","393","null","null","2874","413","null","null","1080","null","257","null","847","195","null","null",
"0500000US47067","Hancock County, Tennessee","3616","null","53","null","54","43","null","null","520","null","115","null","603","null","103","null","457","96","null","null","766","null","123","null","332","84","null","null","282","81","null","null","258","null","76","null","344","94","null","null",
"0500000US47083","Houston County, Tennessee","4184","null","39","null","38","37","null","null","607","null","118","null","791","null","123","null","600","120","null","null","761","null","109","null","500","127","null","null","367","91","null","null","219","null","76","null","301","86","null","null",
"0500000US47115","Marion County, Tennessee","12994","null","68","null","174","93","null","null","1586","null","254","null","2576","null","238","null","2220","267","null","null","2543","null","287","null","1408","210","null","null","933","174","null","null","555","null","163","null","999","169","null","null",
"0500000US47149","Rutherford County, Tennessee","105662","null","240","null","1952","297","null","null","32456","null","929","null","29013","null","959","null","16314","719","null","null","12169","null","782","null","6173","478","null","null","3775","408","null","null","1324","null","253","null","2486","355","null","null",
"0500000US47163","Sullivan County, Tennessee","73952","null","206","null","742","187","null","null","8120","null","588","null","10254","null","541","null","9497","574","null","null","12707","null","671","null","9778","466","null","null","10709","575","null","null","5961","null","409","null","6184","497","null","null",
"0500000US47181","Wayne County, Tennessee","7272","null","221","null","52","37","null","null","1124","null","207","null","1478","null","228","null","1234","202","null","null","951","null","185","null","1099","188","null","null","373","103","null","null","442","null","133","null","519","149","null","null",
"0500000US47189","Wilson County, Tennessee","47166","null","114","null","1708","226","null","null","13369","null","624","null","9772","null","562","null","7295","551","null","null","5929","null","478","null","3927","404","null","null","2409","400","null","null","1053","null","240","null","1704","301","null","null",
"1600000US5331985","Home CDP, Washington","833","null","168","null","0","12","null","null","144","null","86","null","163","null","93","null","65","51","null","null","119","null","82","null","153","97","null","null","122","93","null","null","0","null","12","null","67","58","null","null",
