"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_001MA","B25034_001EA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004M","B25034_004MA","B25034_004EA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006M","B25034_006MA","B25034_006EA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011M","B25034_011MA","B25034_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Built 2014 or later","Annotation of Estimate!!Total!!Built 2014 or later","Margin of Error!!Total!!Built 2014 or later","Annotation of Margin of Error!!Total!!Built 2014 or later","Estimate!!Total!!Built 2010 to 2013","Margin of Error!!Total!!Built 2010 to 2013","Annotation of Margin of Error!!Total!!Built 2010 to 2013","Annotation of Estimate!!Total!!Built 2010 to 2013","Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8974","31","null","null","9","null","13","null","114","56","null","null","1062","168","null","null","1991","null","217","null","1502","201","null","null","1576","null","180","null","1176","166","null","null","830","null","149","null","317","null","81","null","397","114","null","null",
"0500000US47011","Bradley County, Tennessee","42258","132","null","null","53","null","36","null","1228","219","null","null","7186","519","null","null","7333","null","603","null","7011","614","null","null","7898","null","577","null","4903","412","null","null","3102","null","355","null","1252","null","276","null","2292","326","null","null",
"0500000US47031","Coffee County, Tennessee","23529","89","null","null","44","null","44","null","321","129","null","null","3386","362","null","null","4547","null","461","null","3192","400","null","null","3778","null","446","null","3370","373","null","null","2850","null","368","null","1203","null","240","null","838","157","null","null",
"0500000US47067","Hancock County, Tennessee","3606","43","null","null","0","null","17","null","71","45","null","null","545","114","null","null","617","null","110","null","448","96","null","null","697","null","127","null","315","79","null","null","291","null","81","null","234","null","77","null","388","105","null","null",
"0500000US47083","Houston County, Tennessee","4173","58","null","null","0","null","17","null","62","41","null","null","637","106","null","null","799","null","127","null","479","97","null","null","819","null","123","null","516","100","null","null","364","null","104","null","198","null","72","null","299","83","null","null",
"0500000US47115","Marion County, Tennessee","13019","59","null","null","16","null","21","null","236","111","null","null","1689","315","null","null","2724","null","341","null","1891","266","null","null","2697","null","280","null","1300","215","null","null","986","null","206","null","583","null","162","null","897","160","null","null",
"0500000US47149","Rutherford County, Tennessee","107451","177","null","null","357","null","140","null","3127","385","null","null","32825","1090","null","null","28180","null","1164","null","16820","970","null","null","12059","null","801","null","6164","530","null","null","4042","null","381","null","1388","null","220","null","2489","341","null","null",
"0500000US47163","Sullivan County, Tennessee","74004","155","null","null","13","null","13","null","988","225","null","null","8054","647","null","null","10342","null","700","null","9330","600","null","null","13138","null","653","null","10019","609","null","null","10128","null","503","null","6162","null","497","null","5830","515","null","null",
"0500000US47181","Wayne County, Tennessee","7251","95","null","null","0","null","19","null","95","50","null","null","1073","178","null","null","1267","null","165","null","1358","185","null","null","1037","null","174","null","1051","188","null","null","365","null","102","null","464","null","120","null","541","143","null","null",
"0500000US47189","Wilson County, Tennessee","48065","109","null","null","91","null","63","null","2331","224","null","null","13521","602","null","null","9608","null","683","null","7008","539","null","null","6434","null","554","null","3734","350","null","null","2303","null","315","null","1132","null","261","null","1903","292","null","null",
"1600000US5331985","Home CDP, Washington","831","161","null","null","0","null","12","null","0","12","null","null","184","101","null","null","137","null","89","null","69","54","null","null","132","null","84","null","128","94","null","null","91","null","73","null","0","null","12","null","90","61","null","null",
