"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004M","B25034_004MA","B25034_004EA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008M","B25034_008MA","B25034_008EA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011EA","B25034_011M","B25034_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Built 2014 or later","Margin of Error!!Total!!Built 2014 or later","Annotation of Margin of Error!!Total!!Built 2014 or later","Annotation of Estimate!!Total!!Built 2014 or later","Estimate!!Total!!Built 2010 to 2013","Margin of Error!!Total!!Built 2010 to 2013","Annotation of Margin of Error!!Total!!Built 2010 to 2013","Annotation of Estimate!!Total!!Built 2010 to 2013","Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8981","null","49","null","7","11","null","null","133","61","null","null","1167","205","null","null","2046","null","248","null","1341","null","181","null","1539","null","215","null","1155","159","null","null","912","164","null","null","345","null","110","null","336","null","112","null",
"0500000US47011","Bradley County, Tennessee","42556","null","117","null","287","134","null","null","1490","276","null","null","6901","535","null","null","7448","null","469","null","6742","null","582","null","8523","null","688","null","5049","445","null","null","2803","354","null","null","1056","null","235","null","2257","null","300","null",
"0500000US47031","Coffee County, Tennessee","23582","null","69","null","50","42","null","null","404","144","null","null","3686","369","null","null","4625","null","482","null","3077","null","341","null","3677","null","400","null","3423","344","null","null","2728","324","null","null","1049","null","210","null","863","null","210","null",
"0500000US47067","Hancock County, Tennessee","3608","null","49","null","0","17","null","null","75","46","null","null","570","113","null","null","653","null","118","null","478","null","93","null","667","null","132","null","292","87","null","null","244","74","null","null","215","null","69","null","414","null","107","null",
"0500000US47083","Houston County, Tennessee","4166","null","49","null","0","17","null","null","142","64","null","null","662","122","null","null","733","null","139","null","498","null","110","null","757","null","117","null","503","96","null","null","359","85","null","null","197","null","68","null","315","null","84","null",
"0500000US47115","Marion County, Tennessee","13032","null","66","null","47","43","null","null","347","149","null","null","1750","279","null","null","2812","null","279","null","2021","null","278","null","2495","null","330","null","1224","218","null","null","983","184","null","null","525","null","144","null","828","null","145","null",
"0500000US47149","Rutherford County, Tennessee","109726","null","193","null","1109","234","null","null","4189","473","null","null","33215","966","null","null","28610","null","857","null","16272","null","820","null","11919","null","660","null","6565","631","null","null","4297","423","null","null","1466","null","251","null","2084","null","328","null",
"0500000US47163","Sullivan County, Tennessee","74154","null","136","null","130","80","null","null","1001","186","null","null","7555","477","null","null","10362","null","608","null","9896","null","542","null","12891","null","624","null","10253","564","null","null","9862","525","null","null","6091","null","458","null","6113","null","451","null",
"0500000US47181","Wayne County, Tennessee","7264","null","110","null","32","27","null","null","139","73","null","null","1122","167","null","null","1109","null","183","null","1409","null","209","null","1160","null","172","null","1014","170","null","null","461","113","null","null","384","null","120","null","434","null","97","null",
"0500000US47189","Wilson County, Tennessee","49077","null","141","null","559","182","null","null","2971","311","null","null","13109","653","null","null","9779","null","489","null","7150","null","554","null","6283","null","506","null","3682","426","null","null","2519","371","null","null","1161","null","226","null","1864","null","276","null",
"1600000US5331985","Home CDP, Washington","837","null","137","null","0","12","null","null","0","12","null","null","168","97","null","null","175","null","94","null","100","null","88","null","145","null","78","null","63","44","null","null","79","80","null","null","0","null","12","null","107","null","63","null",
