"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011EA","B25034_011M","B25034_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Built 2014 or later","Annotation of Estimate!!Total!!Built 2014 or later","Margin of Error!!Total!!Built 2014 or later","Annotation of Margin of Error!!Total!!Built 2014 or later","Estimate!!Total!!Built 2010 to 2013","Annotation of Estimate!!Total!!Built 2010 to 2013","Margin of Error!!Total!!Built 2010 to 2013","Annotation of Margin of Error!!Total!!Built 2010 to 2013","Estimate!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","9078","null","46","null","14","null","15","null","175","null","85","null","1195","null","179","null","2086","null","239","null","1405","null","227","null","1521","null","213","null","1119","null","197","null","856","162","null","null","313","null","98","null","394","null","118","null",
"0500000US47011","Bradley County, Tennessee","42983","null","151","null","480","null","149","null","1712","null","294","null","6903","null","527","null","7917","null","604","null","6888","null","516","null","8074","null","464","null","4896","null","461","null","2709","353","null","null","1248","null","247","null","2156","null","255","null",
"0500000US47031","Coffee County, Tennessee","23764","null","92","null","259","null","113","null","435","null","153","null","3597","null","390","null","4731","null","449","null","3234","null","384","null","3632","null","403","null","3258","null","425","null","2847","378","null","null","988","null","259","null","783","null","198","null",
"0500000US47067","Hancock County, Tennessee","3618","null","36","null","24","null","24","null","63","null","45","null","655","null","111","null","591","null","95","null","513","null","117","null","545","null","108","null","338","null","94","null","244","82","null","null","232","null","83","null","413","null","101","null",
"0500000US47083","Houston County, Tennessee","4222","null","42","null","14","null","22","null","166","null","68","null","624","null","119","null","757","null","136","null","500","null","94","null","726","null","90","null","580","null","126","null","313","91","null","null","213","null","69","null","329","null","83","null",
"0500000US47115","Marion County, Tennessee","13188","null","87","null","115","null","77","null","407","null","148","null","1934","null","267","null","2919","null","343","null","1812","null","211","null","2335","null","320","null","1296","null","217","null","977","194","null","null","491","null","148","null","902","null","161","null",
"0500000US47149","Rutherford County, Tennessee","112641","null","201","null","2425","null","324","null","5257","null","535","null","33792","null","1156","null","28887","null","1131","null","16493","null","867","null","11665","null","660","null","6045","null","486","null","4348","468","null","null","1595","null","249","null","2134","null","318","null",
"0500000US47163","Sullivan County, Tennessee","74580","null","145","null","251","null","86","null","1256","null","225","null","7527","null","618","null","10248","null","636","null","10235","null","653","null","12896","null","698","null","10187","null","614","null","9866","516","null","null","6137","null","449","null","5977","null","448","null",
"0500000US47181","Wayne County, Tennessee","7318","null","85","null","82","null","49","null","158","null","77","null","1204","null","204","null","1147","null","179","null","1343","null","222","null","1058","null","189","null","938","null","169","null","492","109","null","null","458","null","138","null","438","null","108","null",
"0500000US47189","Wilson County, Tennessee","50381","null","148","null","1205","null","244","null","3593","null","337","null","12966","null","640","null","9884","null","560","null","7097","null","644","null","6566","null","556","null","3553","null","363","null","2416","300","null","null","1311","null","246","null","1790","null","324","null",
"1600000US5331985","Home CDP, Washington","816","null","145","null","0","null","12","null","9","null","14","null","127","null","79","null","195","null","99","null","101","null","89","null","123","null","66","null","32","null","30","null","65","73","null","null","48","null","57","null","116","null","58","null",
