"GEO_ID","NAME","B25034_001E","B25034_001EA","B25034_001M","B25034_001MA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005EA","B25034_005M","B25034_005MA","B25034_006E","B25034_006EA","B25034_006M","B25034_006MA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010EA","B25034_010M","B25034_010MA","B25034_011E","B25034_011EA","B25034_011M","B25034_011MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Built 2014 or later","Annotation of Estimate!!Total!!Built 2014 or later","Margin of Error!!Total!!Built 2014 or later","Annotation of Margin of Error!!Total!!Built 2014 or later","Estimate!!Total!!Built 2010 to 2013","Annotation of Estimate!!Total!!Built 2010 to 2013","Margin of Error!!Total!!Built 2010 to 2013","Annotation of Margin of Error!!Total!!Built 2010 to 2013","Estimate!!Total!!Built 2000 to 2009","Annotation of Estimate!!Total!!Built 2000 to 2009","Margin of Error!!Total!!Built 2000 to 2009","Annotation of Margin of Error!!Total!!Built 2000 to 2009","Estimate!!Total!!Built 1990 to 1999","Annotation of Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Annotation of Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Annotation of Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Annotation of Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Annotation of Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Annotation of Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Annotation of Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Annotation of Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Annotation of Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Annotation of Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Annotation of Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Annotation of Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Annotation of Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Annotation of Margin of Error!!Total!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","9087","null","51","null","84","null","51","null","164","null","67","null","1202","null","234","null","2085","null","276","null","1488","null","208","null","1416","null","199","null","1124","null","213","null","793","null","168","null","319","null","106","null","412","null","124","null",
"0500000US47011","Bradley County, Tennessee","43377","null","150","null","983","null","292","null","1786","null","282","null","7036","null","520","null","8007","null","508","null","6975","null","630","null","8174","null","603","null","4256","null","483","null","2873","null","353","null","1193","null","223","null","2094","null","302","null",
"0500000US47031","Coffee County, Tennessee","23911","null","143","null","396","null","113","null","536","null","187","null","3800","null","374","null","4392","null","473","null","3349","null","363","null","3890","null","415","null","3151","null","463","null","2796","null","335","null","792","null","230","null","809","null","175","null",
"0500000US47067","Hancock County, Tennessee","3601","null","48","null","55","null","42","null","47","null","35","null","611","null","107","null","573","null","114","null","608","null","117","null","450","null","108","null","400","null","119","null","243","null","90","null","214","null","78","null","400","null","102","null",
"0500000US47083","Houston County, Tennessee","4231","null","57","null","25","null","24","null","182","null","72","null","660","null","124","null","779","null","122","null","501","null","104","null","825","null","113","null","535","null","115","null","211","null","76","null","168","null","64","null","345","null","82","null",
"0500000US47115","Marion County, Tennessee","13277","null","78","null","173","null","73","null","380","null","151","null","2002","null","288","null","2935","null","297","null","1919","null","289","null","2213","null","264","null","1372","null","224","null","1010","null","214","null","473","null","138","null","800","null","176","null",
"0500000US47149","Rutherford County, Tennessee","115575","null","169","null","4753","null","543","null","6841","null","621","null","33027","null","1004","null","28058","null","1073","null","16526","null","830","null","11638","null","789","null","6225","null","434","null","4421","null","393","null","1605","null","299","null","2481","null","358","null",
"0500000US47163","Sullivan County, Tennessee","74908","null","159","null","722","null","179","null","1315","null","189","null","6921","null","529","null","10801","null","672","null","10601","null","644","null","12718","null","718","null","10031","null","581","null","9791","null","606","null","5872","null","476","null","6136","null","460","null",
"0500000US47181","Wayne County, Tennessee","7335","null","125","null","154","null","85","null","230","null","111","null","1058","null","184","null","1290","null","224","null","1234","null","231","null","1161","null","198","null","890","null","160","null","520","null","129","null","391","null","115","null","407","null","109","null",
"0500000US47189","Wilson County, Tennessee","51847","null","150","null","2397","null","377","null","3610","null","392","null","12773","null","690","null","9468","null","653","null","7150","null","560","null","7121","null","600","null","3946","null","421","null","2395","null","371","null","1225","null","281","null","1762","null","292","null",
"1600000US5331985","Home CDP, Washington","808","null","136","null","0","null","12","null","9","null","14","null","125","null","77","null","159","null","88","null","114","null","95","null","108","null","64","null","31","null","31","null","62","null","77","null","53","null","60","null","147","null","75","null",
