"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_001MA","B25034_001EA","B25034_002E","B25034_002M","B25034_002MA","B25034_002EA","B25034_003E","B25034_003M","B25034_003MA","B25034_003EA","B25034_004E","B25034_004M","B25034_004MA","B25034_004EA","B25034_005E","B25034_005M","B25034_005MA","B25034_005EA","B25034_006E","B25034_006M","B25034_006MA","B25034_006EA","B25034_007E","B25034_007M","B25034_007MA","B25034_007EA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009EA","B25034_009M","B25034_009MA","B25034_010E","B25034_010M","B25034_010MA","B25034_010EA","B25034_011E","B25034_011M","B25034_011MA","B25034_011EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Annotation of Margin of Error!!Total:!!Built 2014 or later","Annotation of Estimate!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Annotation of Margin of Error!!Total:!!Built 2010 to 2013","Annotation of Estimate!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Annotation of Margin of Error!!Total:!!Built 2000 to 2009","Annotation of Estimate!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Estimate!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Estimate!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Annotation of Margin of Error!!Total:!!Built 1970 to 1979","Annotation of Estimate!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Annotation of Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Annotation of Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Annotation of Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Estimate!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Estimate!!Total:!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","9115","47","null","null","157","75","null","null","217","93","null","null","1311","213","null","null","2254","253","null","null","1293","193","null","null","1352","223","null","null","1058","null","168","null","786","null","178","null","284","113","null","null","403","131","null","null",
"0500000US47011","Bradley County, Tennessee","43736","160","null","null","1368","273","null","null","1906","314","null","null","7017","512","null","null","8162","587","null","null","6239","548","null","null","8331","643","null","null","4646","null","480","null","2836","null","425","null","1250","240","null","null","1981","319","null","null",
"0500000US47031","Coffee County, Tennessee","24070","92","null","null","760","213","null","null","617","206","null","null","3914","422","null","null","4445","491","null","null","3566","424","null","null","3638","462","null","null","2899","null","448","null","2668","null","357","null","795","235","null","null","768","193","null","null",
"0500000US47067","Hancock County, Tennessee","3621","40","null","null","109","60","null","null","53","35","null","null","550","133","null","null","601","128","null","null","708","128","null","null","379","92","null","null","332","null","96","null","237","null","78","null","188","69","null","null","464","115","null","null",
"0500000US47083","Houston County, Tennessee","4224","56","null","null","81","46","null","null","130","51","null","null","616","120","null","null","842","147","null","null","515","99","null","null","767","128","null","null","498","null","114","null","224","null","82","null","183","68","null","null","368","84","null","null",
"0500000US47115","Marion County, Tennessee","13370","70","null","null","302","100","null","null","419","130","null","null","2432","288","null","null","2678","302","null","null","1975","274","null","null","2273","289","null","null","1336","null","231","null","765","null","170","null","457","139","null","null","733","135","null","null",
"0500000US47149","Rutherford County, Tennessee","118691","166","null","null","8084","712","null","null","7099","661","null","null","33062","1112","null","null","27535","1008","null","null","16536","789","null","null","12025","849","null","null","6079","null","560","null","4030","null","447","null","1947","351","null","null","2294","395","null","null",
"0500000US47163","Sullivan County, Tennessee","75205","146","null","null","1403","191","null","null","1207","219","null","null","7265","558","null","null","10551","584","null","null","10355","671","null","null","12696","717","null","null","10424","null","568","null","9601","null","633","null","6011","490","null","null","5692","460","null","null",
"0500000US47181","Wayne County, Tennessee","7349","103","null","null","179","97","null","null","225","96","null","null","981","190","null","null","1356","245","null","null","1143","177","null","null","1364","225","null","null","836","null","175","null","501","null","109","null","333","101","null","null","431","122","null","null",
"0500000US47189","Wilson County, Tennessee","53339","185","null","null","3755","416","null","null","3895","389","null","null","12579","779","null","null","9572","692","null","null","7329","559","null","null","7428","676","null","null","3716","null","348","null","2262","null","356","null","1044","318","null","null","1759","300","null","null",
"1600000US5331985","Home CDP, Washington","784","140","null","null","13","25","null","null","10","16","null","null","142","74","null","null","162","87","null","null","120","97","null","null","67","47","null","null","48","null","40","null","47","null","54","null","55","62","null","null","120","62","null","null",
