"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_001MA","B25034_001EA","B25034_002E","B25034_002EA","B25034_002M","B25034_002MA","B25034_003E","B25034_003EA","B25034_003M","B25034_003MA","B25034_004E","B25034_004EA","B25034_004M","B25034_004MA","B25034_005E","B25034_005M","B25034_005MA","B25034_005EA","B25034_006E","B25034_006M","B25034_006MA","B25034_006EA","B25034_007E","B25034_007EA","B25034_007M","B25034_007MA","B25034_008E","B25034_008EA","B25034_008M","B25034_008MA","B25034_009E","B25034_009M","B25034_009MA","B25034_009EA","B25034_010E","B25034_010M","B25034_010MA","B25034_010EA","B25034_011E","B25034_011M","B25034_011MA","B25034_011EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Built 2020 or later","Annotation of Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Annotation of Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Annotation of Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Annotation of Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Annotation of Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Annotation of Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Margin of Error!!Total:!!Built 1990 to 1999","Annotation of Estimate!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Margin of Error!!Total:!!Built 1980 to 1989","Annotation of Estimate!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Annotation of Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Annotation of Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Annotation of Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Annotation of Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Margin of Error!!Total:!!Built 1950 to 1959","Annotation of Estimate!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Margin of Error!!Total:!!Built 1940 to 1949","Annotation of Estimate!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Margin of Error!!Total:!!Built 1939 or earlier","Annotation of Estimate!!Total:!!Built 1939 or earlier",
"0500000US47005","Benton County, Tennessee","8559","54","null","null","0","null","21","null","559","null","145","null","1245","null","234","null","1736","266","null","null","1063","204","null","null","1490","null","246","null","1121","null","222","null","703","179","null","null","227","88","null","null","415","141","null","null",
"0500000US47011","Bradley County, Tennessee","44465","176","null","null","19","null","23","null","4248","null","502","null","7007","null","668","null","8107","804","null","null","6342","592","null","null","7856","null","630","null","4767","null","511","null","2941","394","null","null","1131","262","null","null","2047","369","null","null",
"0500000US47031","Coffee County, Tennessee","24697","97","null","null","79","null","50","null","2132","null","341","null","3948","null","496","null","4348","537","null","null","3693","554","null","null","3680","null","494","null","3060","null","472","null","2470","335","null","null","699","202","null","null","588","171","null","null",
"0500000US47067","Hancock County, Tennessee","3662","54","null","null","0","null","19","null","320","null","94","null","596","null","137","null","502","121","null","null","704","133","null","null","350","null","103","null","327","null","86","null","276","81","null","null","163","70","null","null","424","138","null","null",
"0500000US47083","Houston County, Tennessee","3967","45","null","null","5","null","9","null","190","null","83","null","421","null","105","null","719","149","null","null","532","120","null","null","875","null","146","null","403","null","91","null","243","79","null","null","149","55","null","null","430","113","null","null",
"0500000US47115","Marion County, Tennessee","13500","71","null","null","34","null","39","null","956","null","236","null","2276","null","314","null","2305","348","null","null","2451","328","null","null","2295","null","307","null","1336","null","241","null","816","200","null","null","309","89","null","null","722","148","null","null",
"0500000US47149","Rutherford County, Tennessee","127965","251","null","null","1021","null","258","null","23283","null","1154","null","33186","null","1426","null","26301","1129","null","null","16999","1033","null","null","12432","null","969","null","6156","null","800","null","4743","668","null","null","1852","431","null","null","1992","364","null","null",
"0500000US47163","Sullivan County, Tennessee","75377","162","null","null","23","null","27","null","3982","null","482","null","7779","null","625","null","11081","722","null","null","9195","701","null","null","12364","null","712","null","9501","null","690","null","9928","652","null","null","6476","626","null","null","5048","457","null","null",
"0500000US47181","Wayne County, Tennessee","7194","122","null","null","10","null","15","null","488","null","156","null","802","null","167","null","1635","292","null","null","989","203","null","null","1326","null","222","null","778","null","173","null","406","110","null","null","259","86","null","null","501","142","null","null",
"0500000US47189","Wilson County, Tennessee","56971","166","null","null","197","null","112","null","10985","null","718","null","12452","null","808","null","9797","707","null","null","7992","814","null","null","6779","null","636","null","4183","null","482","null","2080","336","null","null","962","239","null","null","1544","380","null","null",
"1600000US5331985","Home CDP, Washington","864","171","null","null","0","null","13","null","80","null","58","null","199","null","81","null","139","86","null","null","52","52","null","null","8","null","12","null","198","null","144","null","50","42","null","null","53","60","null","null","85","51","null","null",
